Team,Year,player_BPM_mean,player_BPM_max,player_BPM_std,player_BPM_count,player_ORtg_mean,player_ORtg_max,player_ORtg_min,player_PRPG!_mean,player_PRPG!_max,player_PRPG!_sum,player_Usg_mean,player_Usg_max,player_Usg_sum,player_eFG_mean,player_eFG_max,player_TS_mean,player_TS_max,player_Min%_sum,player_Min%_max,player_Ast_mean,player_Ast_max,player_TO_mean,player_Blk_mean,player_Blk_max,player_Stl_mean,player_Stl_max,player_Class Year_<lambda>
Tennessee,2019,11.8,11.8,,1,124.5,124.5,124.5,6.1,6.1,6.1,27.0,27.0,27.0,58.3,58.3,64.7,64.7,78.6,78.6,18.3,18.3,15.2,5.3,5.3,2.0,2.0,0
Tennessee,2024,9.9,9.9,,1,114.5,114.5,114.5,4.8,4.8,4.8,29.8,29.8,29.8,53.8,53.8,57.7,57.7,76.6,76.6,13.4,13.4,10.6,2.4,2.4,1.3,1.3,1
Tennessee Martin,2020,-0.9,-0.9,,1,120.4,120.4,120.4,5.0,5.0,5.0,26.5,26.5,26.5,58.2,58.2,62.7,62.7,85.0,85.0,6.2,6.2,14.3,1.0,1.0,0.7,0.7,1
Texas A&M,2024,6.6,6.6,,1,109.8,109.8,109.8,4.5,4.5,4.5,29.8,29.8,29.8,45.0,45.0,50.9,50.9,81.7,81.7,26.7,26.7,16.9,0.1,0.1,3.3,3.3,0
Texas Tech,2019,10.5,10.5,,1,106.9,106.9,106.9,4.7,4.7,4.7,32.2,32.2,32.2,50.5,50.5,54.2,54.2,80.6,80.6,25.9,25.9,15.5,2.2,2.2,2.7,2.7,0
Toledo,2020,4.4,4.4,,1,110.3,110.3,110.3,4.6,4.6,4.6,29.6,29.6,29.6,51.6,51.6,56.7,56.7,88.4,88.4,33.2,33.2,16.8,0.0,0.0,2.3,2.3,0
Toledo,2022,7.3,7.3,,1,135.8,135.8,135.8,4.9,4.9,4.9,18.4,18.4,18.4,65.1,65.1,67.7,67.7,80.3,80.3,10.1,10.1,9.9,4.3,4.3,1.1,1.1,0
Toledo,2023,5.05,5.2,0.21,2,127.35,135.2,119.5,4.9,5.0,9.8,24.85,28.6,49.7,57.35,61.6,60.8,65.6,158.4,84.9,19.75,31.6,9.4,2.25,3.9,1.75,2.4,1
Troy,2019,5.8,5.8,,1,116.3,116.3,116.3,5.0,5.0,5.0,29.1,29.1,29.1,59.6,59.6,63.4,63.4,56.4,56.4,17.3,17.3,16.4,3.8,3.8,0.9,0.9,1
Tulsa,2024,6.4,6.4,,1,114.3,114.3,114.3,4.6,4.6,4.6,30.3,30.3,30.3,51.4,51.4,59.3,59.3,83.8,83.8,26.3,26.3,13.9,0.1,0.1,3.2,3.2,0
